ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB description,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units
BES,https://data.humdata.org/dataset/cod-ab-bes,cod-standard,OCHA Field Information Services Section (FISS),"Bonaire, Sint Eustatius and Saba administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  The time period of the dataset is based on the 10 October 2010 dissolution of the former Netherlands Antilles.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 3 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",3,,,
BWA,https://data.humdata.org/dataset/cod-ab-bwa,cod-standard,OCHA Field Information Services Section (FISS),"Botswana administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from UNFPA

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Botswana [COD-PS](https://data.humdata.org/dataset/cod-ps-bwa).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 17 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Administrative level 2 contains 28 feature(s).  The normal administrative level 2 feature type is 'currently not known'.

Administrative level 3 contains 519 feature(s).  The normal administrative level 3 feature type is 'currently not known'.

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",17,28,519,
BRA,https://data.humdata.org/dataset/cod-ab-bra,cod-standard,OCHA Latin America and the Caribbean (ROLAC),"Brazil administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  The COD-PS does not include records for the uninhabited water features """"Lagoa Mirim"""" and """"Lagoa dos Patos"""".  

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2025.  The COD-AB does not require any update.

Sourced from Instituto Brasileiro de Geografia e Estatística (IBGE)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Brazil [COD-PS](https://data.humdata.org/dataset/cod-ps-bra).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 27 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Administrative level 2 contains 5,572 feature(s).  The normal administrative level 2 feature type is 'currently not known'.

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on February 03, 2025.",27,5572,,
BGR,https://data.humdata.org/dataset/cod-ab-bgr,cod-enhanced,OCHA Field Information Services Section (FISS),"Bulgaria administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1999

NOTE:  The time period of the dataset is based on the 10 October 2010 dissolution of the former Netherlands Antilles.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from UNICEF

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-bgr).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 28 feature(s).  The normal administrative level 1 feature type is 'province (oblast) or metropolitan capital province'.

Administrative level 2 contains 265 feature(s).  The normal administrative level 2 feature type is 'municipality'.

Recommended cartographic projection:  Europe Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",28,265,,
BFA,https://data.humdata.org/dataset/cod-ab-bfa,cod-enhanced,OCHA Burkina Faso,"Burkina Faso administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2012

NOTE:  ADM2 part of 'Kadiogo' P-code is '00'.  This dataset is essentially correct, but some attribute errors are suspected.

This COD-AB was most recently reviewed for accuracy and necessary changes in July 2024.  The COD-AB requires improvements.

Sourced from Institut Géographique du Burkina

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Burkina Faso [COD-PS](https://data.humdata.org/dataset/cod-ps-bfa).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-bfa).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 13 feature(s).  The normal administrative level 1 feature type is 'Région'.

Administrative level 2 contains 45 feature(s).  The normal administrative level 2 feature type is 'Province'.

Administrative level 3 contains 351 feature(s).  The normal administrative level 3 feature type is 'Commune'.

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",13,45,351,
BDI,https://data.humdata.org/dataset/cod-ab-bdi,cod-enhanced,OCHA Field Information Services Section (FISS),"Burundi administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  Three COD-PS features in BUJUMBURA MAIRIE correspond to 13 COD-AB features but cannot be resolved.  OCHA regional office is preparing updated data.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB requires improvements.

Sourced from IGEBU and OCHA Burundi

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Burundi [COD-PS](https://data.humdata.org/dataset/cod-ps-bdi).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 18 feature(s).  The normal administrative level 1 feature type is 'Province'.

Administrative level 2 contains 119 feature(s).  The normal administrative level 2 feature type is 'Commune'.

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",18,119,,
KHM,https://data.humdata.org/dataset/cod-ab-khm,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Cambodia administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2018

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Department of Geography of the Ministry of Land Management, Urbanization and Construction in 2008, WFP

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Cambodia [COD-PS](https://data.humdata.org/dataset/cod-ps-khm).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 25 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 197 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 1,633 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",25,197,1633,
CMR,https://data.humdata.org/dataset/cod-ab-cmr,cod-enhanced,OCHA Cameroon,"Cameroon administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1987

NOTE:  COD-PS includes two large metropolitan features in addition to administrative level 0-1.  COD-AB and PS match at ADM0 and ADM1.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Institut National de Cartographie (INC)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Cameroon [COD-PS](https://data.humdata.org/dataset/cod-ps-cmr).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-cmr).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 10 feature(s).  The normal administrative level 1 feature type is 'Region (Région)'.

Administrative level 2 contains 58 feature(s).  The normal administrative level 2 feature type is 'Department (Département)'.

Administrative level 3 contains 360 feature(s).  The normal administrative level 3 feature type is 'Arrondissement'.

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 18, 2025.",10,58,360,
CPV,https://data.humdata.org/dataset/cod-ab-cpv,cod-enhanced,OCHA West and Central Africa (ROWCA),"Cabo Verde administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  Island P-code system is unofficial.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Second Administrative Level Boundaries (SALB) Project

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Cabo Verde [COD-PS](https://data.humdata.org/dataset/cod-ps-cpv).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 22 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Administrative level 2 contains 32 feature(s).  The normal administrative level 2 feature type is 'currently not known'.

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 18, 2025.",22,32,,
CYM,https://data.humdata.org/dataset/cod-ab-cym,cod-standard,OCHA Field Information Services Section (FISS),"Cayman Islands administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Cayman Islands [COD-PS](https://data.humdata.org/dataset/cod-ps-cym).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 6 feature(s).  The normal administrative level 1 feature type is 'District'.

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 18, 2025.",6,,,
CAF,https://data.humdata.org/dataset/cod-ab-caf,cod-enhanced,OCHA Central African Republic,"Central African Republic administrative level 0-4 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2020

NOTE:  COD-PS sex disaggregation only from ADM1 ratios.  Age disaggregation only from ADM0 ratios.  Sex and age disaggregation should be viewed as unreliable.  Although the administrative structure was changed to 20 prefectures in December 2020, ICASEES (Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales) has not yet implemented the changes and the humanitarian community continues to use the older structure.

This COD-AB was most recently reviewed for accuracy and necessary changes in March 2024.  The COD-AB does not require any update.

Sourced from Agency for Technical Cooperation and Development(ACTED)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Central African Republic [COD-PS](https://data.humdata.org/dataset/cod-ps-caf).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-caf).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 17 feature(s).  The normal administrative level 1 feature type is 'Prefecture'.

Administrative level 2 contains 72 feature(s).  The normal administrative level 2 feature type is 'Sub-prefecture'.

Administrative level 3 contains 175 feature(s).  The normal administrative level 3 feature type is 'Commune'.

Administrative level 4 contains 860 feature(s).  The normal administrative level 4 feature type is 'Locality'.

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",17,72,175,860
TCD,https://data.humdata.org/dataset/cod-ab-tcd,cod-enhanced,OCHA Field Information Services Section (FISS),"Chad administrative level 0-2 boundaries (COD-AB) dataset.

Boundaries established: 2023

Note: The February 2025 update reassigned ADM2 feature """"Abdi"""" now [TCD2102] from """"Ouaddai"""" province to """"Sila"""" province, and  """"Djourouf al Ahmarwas"""" now [now TCD1402] reassigned in the opposite direction.  NOTE also that the Chad P-code prefix will be updated from """"TD"""" to """"TCD"""" in accordance with the local Information Management Working Group preference.

Apparently substantial Administrative level 2 boundary alterations:
""""Dagana' [TCD0501] in ADM1 feature """"Hadjer Lamis' and """"Wayi' [TCD0702] in ADM1 feature """"Lac"""".
""""Bahr Koh"""" [TCD1301] in ADM1 feature """"Moyen Chari"""" and """"Loug Chari"""" in ADM1 feature """"Chari Baguirmi"""".
""""Tandjile Centre"""" [TCD1603] and """"Tandjile Ouest"""" [TCD1602] in ADM1 feature """"Tandjilé"""".
""""Barh-El-Gazel Ouest"""" [TCD1903] and """"Barh-El-Gazel Sud"""" [TCD1901] in ADM1 feature """"Barh-El-Gazel"""".
""""Amdjarass"""" [TCD2001] and """"Wadi Hawar"""" [TCD2992] in ADM1 feature """"Ennedi Est"""" [TCD20].
""""Mourtcha"""" [TCD2302] and 'Fada"""" [TCD2301] has changed substantially.
""""Kobé"""" [TCD1703] and """"Megri"""" [TCD1704].


This COD-AB was most recently reviewed for accuracy and necessary changes in January 2025.  The COD-AB does not require any update.

Sourced from Institut National de la Statistique, des Etudes Economiques et Démographiques du Tchad

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Chad [COD-PS](https://data.humdata.org/dataset/cod-ps-tcd).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-tcd).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 23 feature(s).  The normal administrative level 1 feature type is 'Province'.

Administrative level 2 contains 70 feature(s).  The normal administrative level 2 feature type is 'Departement'.

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on February 14, 2025.",23,70,,
CHL,https://data.humdata.org/dataset/cod-ab-chl,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),"Chile administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2018

NOTE:  See COD-PS caveats about variations from the COD-AB administrative structure.  See COD-AB caveats about treatment along Argnentia border.  COD-AB contains unresolved topology errors affecting the lines shapefile.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from La Biblioteca del Congreso Nacional de Chile (BCN)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Chile [COD-PS](https://data.humdata.org/dataset/cod-ps-chl).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 16 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Administrative level 2 contains 56 feature(s).  The normal administrative level 2 feature type is 'currently not known'.

Administrative level 3 contains 345 feature(s).  The normal administrative level 3 feature type is 'currently not known'.

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",16,56,345,
CHN,https://data.humdata.org/dataset/cod-ab-chn,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),"China administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-AB source is unofficial.  COD-AB reflects Chinese and UN recognition of 'Taiwan' as a Chinese ADM1 feature.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from publicly available online sources

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 34 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 361 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

""China administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-AB source is unofficial.  COD-AB reflects Chinese and UN recognition of 'Taiwan' as a Chinese ADM1 feature.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from publicly available online sources

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 34 feature(s).  The normal administrative level 1 feature type is 'currently not known'.

Administrative level 2 contains 361 feature(s).  The normal administrative level 2 feature type is 'currently not known'.

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 18, 2025.",34,361,,
COL,https://data.humdata.org/dataset/cod-ab-col,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),"Colombia administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2019

NOTE:  COD-PS updated August 2024.  The metadata dates reflect that the most recent administrative structure change was the creation of ADM2 feature """"Barrancominas"""" [CO94343] in 2019.


This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from Departamento Administrativo Nacional de Estadística (DANE)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Colombia [COD-PS](https://data.humdata.org/dataset/cod-ps-col).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 33 feature(s).  The normal administrative level 1 feature type is 'Departement'.

Administrative level 2 contains 1,122 feature(s).  The normal administrative level 2 feature type is 'Municipality (municipio or distrito)'.

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on January 18, 2025.",33,1122,,
